rank,internal_row_id,canonical_name,score,bucket,city,sector_label,website,normalized_domain,address,google_category,google_maps_url
129,uae-pilot-0194,Emkan Accounting & Book Keeping,53,medium_priority_backlog,Dubai,Accounting/Audit,https://www.emkanaccounting.com/,emkanaccounting.com,208 - Al Murar - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Emkan%20Accounting%20%26%20Book%20Keeping&query_place_id=ChIJeYQv0cBDXz4RXfBP9ZQ4cVQ
130,uae-pilot-0207,Fedde Interiors,53,medium_priority_backlog,Dubai,Interior Design (secondary),http://www.feddeinteriors.com/,feddeinteriors.com,67CJ+MCC - Sheikh Zayed Rd - Trade Center First - التجاري الأولي - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Fedde%20Interiors&query_place_id=ChIJtXOkL9JpXz4RPjxxp9idOe4
131,uae-pilot-0211,Freight Care Logistics LLC,53,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.freightcare.ae/,freightcare.ae,703/704 Sultan International Tower - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=Freight%20Care%20Logistics%20LLC&query_place_id=ChIJNR40_ctDXj4RzzkrIqy2Vwk
132,uae-pilot-0228,GSC Cargo AbuDhabi Br,53,medium_priority_backlog,Abu Dhabi,Logistics (secondary),https://www.gscmovers.com/,gscmovers.com,602 Zayed The First St - opp. Adnoc petrol station - Al Hisn - W4 - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=GSC%20Cargo%20AbuDhabi%20Br&query_place_id=ChIJB1zsOVxnXj4RrEq8cHHMM6s
133,uae-pilot-0245,Humaid Al Kaabi Accounts Audit Branch,53,medium_priority_backlog,Abu Dhabi,Accounting/Audit,https://humaidalkaabi.ae/,humaidalkaabi.ae,Al Ferdous Tower - Al Salam Street - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Humaid%20Al%20Kaabi%20Accounts%20Audit%20Branch&query_place_id=ChIJ86Pkyx5nXj4RuRd7CD8eias
134,uae-pilot-0246,Hyat Logistics Cargo & Clearance,53,medium_priority_backlog,Dubai,Logistics (secondary),http://hyatlogisticsuae.com/,hyatlogisticsuae.com,"Office 55A, Al Farda A Block, Dubai Customs - Dubai - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Hyat%20Logistics%20Cargo%20%26%20Clearance&query_place_id=ChIJtZSMUe5DXz4R9JWT1ordCpo
135,uae-pilot-0262,Japandi Interiors & Landscaping,53,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://www.japandi.ae/,japandi.ae,Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Japandi%20Interiors%20%26%20Landscaping&query_place_id=ChIJSeMMqxg5Xj4RFvjjHg9OULY
136,uae-pilot-0297,MB&A CPAS | Accounting Firm in Abu Dhabi | Audit | ICV | VAT | Corporate Tax,53,medium_priority_backlog,Abu Dhabi,Accounting/Audit,https://www.mbacpaco.com/,mbacpaco.com,"Office no. 2, Floor 0 - Building no. 8 Hamdan Bin Mohammed St - Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=MB%26A%20CPAS%20%7C%20Accounting%20Firm%20in%20Abu%20Dhabi%20%7C%20Audit%20%7C%20ICV%20%7C%20VAT%20%7C%20Corporate%20Tax&query_place_id=ChIJdSlccXDtQmsRLG3wsNwC9qo
137,uae-pilot-0349,Perfect Cargo Services and PCS Movers,53,medium_priority_backlog,Abu Dhabi,Logistics (secondary),https://www.perfectcargos.com/index.html,perfectcargos.com,"22225, 19 Dhabi - Ad Dibsi St - Al Zahiyah - E16 02 - Abu Dhabi - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Perfect%20Cargo%20Services%20and%20PCS%20Movers&query_place_id=ChIJC7lI-DlnXj4RjVVDWjvP6Ds
138,uae-pilot-0373,S A G Logistic Services LLC,53,medium_priority_backlog,Dubai,Logistics (secondary),https://saglogistic.com/,saglogistic.com,"Fahidi Heights - AWR Properties - 1202, Level 12 - Al Hamriya - Dubai - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=S%20A%20G%20Logistic%20Services%20LLC&query_place_id=ChIJl7oJELxDXz4R2g5wg3Llm64
139,uae-pilot-0400,Soft Power Audit & Tax Agency LLC. Abu Dhabi - UAE,53,medium_priority_backlog,Abu Dhabi,Accounting/Audit,http://www.softpoweraa.com/,softpoweraa.com,"Office # 938, 9th Floor, Dar Al Salam Building - شارع الكورنيش الشرقي - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Soft%20Power%20Audit%20%26%20Tax%20Agency%20LLC.%20Abu%20Dhabi%20-%20UAE&query_place_id=ChIJT7nb1ytBXj4Rlyzt563auWc
140,uae-pilot-0409,Stellar Eastern Franchise and Retail Advisory,53,medium_priority_backlog,Abu Dhabi,Accounting/Audit,https://stellareastern.com/,stellareastern.com,"M-02, Sheikha Shamsa Tower (C156 - Hamdan St - Abu Dhabi - United Arab Emirates",Business management consultant,https://www.google.com/maps/search/?api=1&query=Stellar%20Eastern%20Franchise%20and%20Retail%20Advisory&query_place_id=ChIJtcm9eGFnXj4RdoX-cFQD_n4
141,uae-pilot-0460,الأراضي الملكية لتنسيق الحدائق في ابوظبي,53,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://www.royal-land.com/,royal-land.com,Mazyad Mall - Office No.26 - Tower No.2 9th Floor - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,Landscape designer,https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A%20%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A%D8%A9%20%D9%84%D8%AA%D9%86%D8%B3%D9%8A%D9%82%20%D8%A7%D9%84%D8%AD%D8%AF%D8%A7%D8%A6%D9%82%20%D9%81%D9%8A%20%D8%A7%D8%A8%D9%88%D8%B8%D8%A8%D9%8A&query_place_id=ChIJK2Ygr-BlXj4RQdfECNybfRM
142,uae-pilot-0174,Dr. Nima.Yeganeh,52,reject,Dubai,Healthcare,https://drnimayeganeh.com/,drnimayeganeh.com,"International Modern Hospital, Port - Sheikh Rashid Rd - Mankhool - Area - Bur - Dubai - United Arab Emirates",Medical clinic,https://www.google.com/maps/search/?api=1&query=Dr.%20Nima.Yeganeh&query_place_id=ChIJG3oiB89DXz4R0udKLoU72LQ
143,uae-pilot-0252,Imex Shipping & Logistics LLC,52,medium_priority_backlog,Dubai,Logistics (secondary),http://www.imexshipping.com/,imexshipping.com,"7833+3V - IMEX SHIPPING & LOGISTICS LLC, Zainal Mobebi Plaza, Office Number -108 1st Floor, Opposite to Burjuman Mall, Near to Park Regis Hotel - Al Karama - Dubai - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Imex%20Shipping%20%26%20Logistics%20LLC&query_place_id=ChIJr9VPPtRCXz4RRFbb5fPA7Hc
144,uae-pilot-0266,Jordex Global LLC,52,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.jordexglobal.ae/,jordexglobal.ae,Abu Dhabi National Exhibition Centre - office 1502 - Al Rawdah - Capital Centre - Abu Dhabi - United Arab Emirates,Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Jordex%20Global%20LLC&query_place_id=ChIJgV2lRERCXj4RW_5z2oYrkjY
145,uae-pilot-0415,Talal Market - Al Mina St - M114,52,medium_priority_backlog,Dubai,Other,https://www.talalgroupintl.com/,talalgroupintl.com,Al Mina St - Al Hudaiba - Dubai - United Arab Emirates,Supermarket,https://www.google.com/maps/search/?api=1&query=Talal%20Market%20-%20Al%20Mina%20St%20-%20M114&query_place_id=ChIJ5Qr0wgNDXz4RcWkG0M8_ljw
146,uae-pilot-0131,Capriole Construction Co. LLC Abu Dhabi Branch,51,medium_priority_backlog,Abu Dhabi,Construction,http://www.capriole-construction.com/,capriole-construction.com,630A Sheikh Rashid Bin Saeed St - Al Manhal - W14 02 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Capriole%20Construction%20Co.%20LLC%20Abu%20Dhabi%20Branch&query_place_id=ChIJJ_keBgBnXj4ROBX6bxatSmA
147,uae-pilot-0302,MFL Logistics LLC,51,medium_priority_backlog,Dubai,Logistics (secondary),http://www.mfldubai.com/,mfldubai.com,"501, 5th Floor, B Block, Shaikh Hamdan Award Complex, Jumerah Beach Road, - Dubai - United Arab Emirates",Shipping service,https://www.google.com/maps/search/?api=1&query=MFL%20Logistics%20LLC&query_place_id=ChIJ9TaK6ABDXz4RCfCPpVk0gtM
148,uae-pilot-0343,P&T Group - Engineers office,51,medium_priority_backlog,Dubai,Architecture,http://www.p-t-group.com/,p-t-group.com,Al Hudaiba Awards Building - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=P%26T%20Group%20-%20Engineers%20office&query_place_id=ChIJqa6XwgBDXz4R-q_64Wuh6jk
149,uae-pilot-0117,BIM CONSULT,50,medium_priority_backlog,Dubai,Architecture,https://bimconsults.com/,bimconsults.com,"P114 Sheikha Maryam Building - Office 405-38, 4th Floor - Baniyas Rd - Dubai - United Arab Emirates",Architecture firm,https://www.google.com/maps/search/?api=1&query=BIM%20CONSULT&query_place_id=ChIJOV-FM0RDXz4RI6vc70DQXDs
150,uae-pilot-0250,iDezineLab,50,medium_priority_backlog,Abu Dhabi,Architecture,https://idezinelab.odoo.com/,idezinelab.odoo.com,"Smart Station, Incubator Building - First Floor - Masdar City - SE45 05 - Abu Dhabi - United Arab Emirates",Architecture firm,https://www.google.com/maps/search/?api=1&query=iDezineLab&query_place_id=ChIJU8PLOtOcamYRmf7CbuPTllc
151,uae-pilot-0293,Materials & Corrosion Consultancy LLC,50,medium_priority_backlog,Dubai,Engineering,https://mcc-uae.com/,mcc-uae.com,Latifa Tower #606 - 78 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Materials%20%26%20Corrosion%20Consultancy%20LLC&query_place_id=ChIJicOSqG9DXz4R4WicE-0fjD4
152,uae-pilot-0359,Project-Central LWM,50,medium_priority_backlog,Dubai,Construction,https://www.project-central.com/,project-central.com,"Al Hudaiba Awards Building, Block B – 711 - Dubai - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Project-Central%20LWM&query_place_id=ChIJMf_sdy1DXz4R5nY7U8x1oWQ
153,uae-pilot-0419,tangramgulf,50,medium_priority_backlog,Dubai,Architecture,https://www.tangramgulf.com/,tangramgulf.com,Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,Architect,https://www.google.com/maps/search/?api=1&query=tangramgulf&query_place_id=ChIJrcpbCOBDXz4RpntOupHOzgk
154,uae-pilot-0462,بورتريه للاستشارات الهندسية والتصميم الداخلي,50,medium_priority_backlog,Abu Dhabi,Architecture,https://www.portraiteng.com/,portraiteng.com,Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=%D8%A8%D9%88%D8%B1%D8%AA%D8%B1%D9%8A%D9%87%20%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9%20%D9%88%D8%A7%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85%20%D8%A7%D9%84%D8%AF%D8%A7%D8%AE%D9%84%D9%8A&query_place_id=ChIJK4fq4V9HXj4Rkf8no5HKRSk
155,uae-pilot-0048,Al Layiq Interior Design | Fit Out Abu Dhabi,49,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://allayiq.com/,allayiq.com,"Mazyad, mall offices tower - Mohammed bin zayed city Z9 - 01 - office number - 33 - 1 9 th floor - Abu Dhabi - United Arab Emirates",Interior designer,https://www.google.com/maps/search/?api=1&query=Al%20Layiq%20Interior%20Design%20%7C%20Fit%20Out%20Abu%20Dhabi&query_place_id=ChIJEeMrKmU5Xj4R3oMxcEuy4LE
156,uae-pilot-0113,Best Choice Engineering Consulting,49,medium_priority_backlog,Abu Dhabi,Other,http://www.best-choice.ae/,best-choice.ae,Mazyad Mall - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,Consultant,https://www.google.com/maps/search/?api=1&query=Best%20Choice%20Engineering%20Consulting&query_place_id=ChIJ67uT0xlHXj4RgRSff-3bTv4
157,uae-pilot-0296,Maylaa International Trading LLC,49,medium_priority_backlog,Dubai,Other,https://maylaainternational.com/,maylaainternational.com,"Al Hudaiba Awards building , Block B - Office 702 - شارع الثاني من ديسمبر‎ - Jumeirah 1 - Dubai - United Arab Emirates",Business to business service,https://www.google.com/maps/search/?api=1&query=Maylaa%20International%20Trading%20LLC&query_place_id=ChIJeXGPzgBDXz4RBUSbMuVZhRw
158,uae-pilot-0334,NSB Luxury Transport -Chauffeur Service,49,medium_priority_backlog,Dubai,Other,https://nsbluxurytransport.com/,nsbluxurytransport.com,"M.S Business Center - Office 22, 2nd Floor - Al Mankhool Rd - Al Jafiliya - Dubai - United Arab Emirates",Chauffeur service,https://www.google.com/maps/search/?api=1&query=NSB%20Luxury%20Transport%20-Chauffeur%20Service&query_place_id=ChIJ_e5QMGYmjq4RFzVRFG4EwnE
159,uae-pilot-0340,Onyx Gulf HVAC Solutions,49,medium_priority_backlog,Dubai,Interior Design (secondary),https://gulfhvacsolutions.com/,gulfhvacsolutions.com,Building No. 9 - Wasal Port View - Al Mina St - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Onyx%20Gulf%20HVAC%20Solutions&query_place_id=ChIJ8Z8MIMlDXz4RXHSPp6kSoq4
160,uae-pilot-0382,Sarhen International Design,49,medium_priority_backlog,Dubai,Interior Design (secondary),http://www.sarhenintl.com/,sarhenintl.com,Jumeirah Beach Rd - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Sarhen%20International%20Design&query_place_id=ChIJ00bHQh9DXz4ReOXj3D4jZfk
161,uae-pilot-0422,THE STYLE STUDIO,49,medium_priority_backlog,Dubai,Interior Design (secondary),https://www.thestylestudio.homes/,thestylestudio.homes,Al Maya Building - Office Number 103 - Mankhool - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=THE%20STYLE%20STUDIO&query_place_id=ChIJueFl0ttDXz4RM58YCB_OirQ
162,uae-pilot-0432,Urban Art Interior & Landscapes-Pools LLC,49,medium_priority_backlog,Dubai,Interior Design (secondary),https://www.urbanartllc.in/,urbanartllc.in,Number R 23 Sheik - Hamad A8 Building 43A St - Al Karama - Dubai - United Arab Emirates,Landscape designer,https://www.google.com/maps/search/?api=1&query=Urban%20Art%20Interior%20%26%20Landscapes-Pools%20LLC&query_place_id=ChIJeRviyCBriAURh4T52xVJqPQ
163,uae-pilot-0445,West End Studio,49,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://www.westudiouae.com/,westudiouae.com,,Interior designer,https://www.google.com/maps/search/?api=1&query=West%20End%20Studio&query_place_id=ChIJd4nDJXbYYq8RoeMT8CHzCCg
164,uae-pilot-0057,Al Sahel Cargo & Clearing LLC,48,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.alsahalgroup.com/,alsahalgroup.com,Km building (Old Fujairah - Hamdan Bin Mohammed St - behind sun and sports - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=Al%20Sahel%20Cargo%20%26%20Clearing%20LLC&query_place_id=ChIJ9zweZWBmXj4RalnJBIBMqiY
165,uae-pilot-0103,Avant Garde Logistics LLC,48,medium_priority_backlog,Dubai,Logistics (secondary),http://www.avantgardelogistics.com/,avantgardelogistics.com,"Aghaadir Building - Office #206, 2nd Floor - 37 Al Mankhool Rd - Al Raffa - Dubai - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Avant%20Garde%20Logistics%20LLC&query_place_id=ChIJJdumzAxDXz4RZSbS0coO15U
166,uae-pilot-0116,BHNS ENGINEERING CONSULTANTS,48,medium_priority_backlog,Dubai,Other,http://www.bh-ns.com/,bh-ns.com,"Office 105, Emitac Building, 45 Street 2 - Dubai - United Arab Emirates",Consultant,https://www.google.com/maps/search/?api=1&query=BHNS%20ENGINEERING%20CONSULTANTS&query_place_id=ChIJG2iCdh9dXz4RO74gj7G8euc
167,uae-pilot-0121,BLUE AXIS SHIPPING & FREIGHT(L.L.C),48,medium_priority_backlog,Dubai,Logistics (secondary),http://www.blueaxisshipping.com/,blueaxisshipping.com,"B301/302, Al Hudaiba Awards Building, Opp Union Flag - Dubai - United Arab Emirates",Shipping service,https://www.google.com/maps/search/?api=1&query=BLUE%20AXIS%20SHIPPING%20%26%20FREIGHT(L.L.C)&query_place_id=ChIJrW_s6hNDXz4RJDaheL9tQA4
168,uae-pilot-0151,Core Accounting & Tax Consultation LLC,48,medium_priority_backlog,Abu Dhabi,Accounting/Audit,https://coreauditax.com/,coreauditax.com,"Al Ferdous Tower - Floor No. 6, Office Number 622 - Hamdan Bin Mohammed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Core%20Accounting%20%26%20Tax%20Consultation%20LLC&query_place_id=ChIJk7El6VtnXj4Rc_9fVzwQDWE
169,uae-pilot-0223,Global for Accounting and Tax Consultancy,48,medium_priority_backlog,Abu Dhabi,Accounting/Audit,https://globalaccandtax.com/,globalaccandtax.com,Hamdan Bin Mohammed St - Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates,Tax preparation,https://www.google.com/maps/search/?api=1&query=Global%20for%20Accounting%20and%20Tax%20Consultancy&query_place_id=ChIJ-zxKQwBnXj4RHGTt-Jn-4WU
170,uae-pilot-0258,Interport Shipping & Logistics LLC,48,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.interportshipping.com/,interportshipping.com,Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Interport%20Shipping%20%26%20Logistics%20LLC&query_place_id=ChIJ4_-PO1xmXj4RjOrCUwX2hbk
171,uae-pilot-0263,Jaxa Chartered Accountants - Top Auditing Firm in Abu Dhabi,48,medium_priority_backlog,Abu Dhabi,Accounting/Audit,https://www.jaxaauditors.com/,jaxaauditors.com,Al Zahiyah St - behind Al Salama Hospital Pharmacy - Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates,Chartered accountant,https://www.google.com/maps/search/?api=1&query=Jaxa%20Chartered%20Accountants%20-%20Top%20Auditing%20Firm%20in%20Abu%20Dhabi&query_place_id=ChIJcT-Z5lhmXj4RA0R-DP9auOU
172,uae-pilot-0265,Jenny Flowers International LLC Abu Dhabi,48,medium_priority_backlog,Abu Dhabi,Other,http://www.jennyflowers.com/,jennyflowers.com,Mussafah Shaabiya - behind Safeer Mall - ME9 - Abu Dhabi - United Arab Emirates,Florist,https://www.google.com/maps/search/?api=1&query=Jenny%20Flowers%20International%20LLC%20Abu%20Dhabi&query_place_id=ChIJ_____15mXj4Rlcfnddv4cOI
173,uae-pilot-0346,Paramount Shipping & Forwarding LLC,48,medium_priority_backlog,Dubai,Logistics (secondary),http://paramountshpgdxb.com/,paramountshpgdxb.com,Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=Paramount%20Shipping%20%26%20Forwarding%20LLC&query_place_id=ChIJ1TEnbQFDXz4RsjerTsMBsmI
174,uae-pilot-0360,promiseexpresslogistics,48,medium_priority_backlog,Dubai,Logistics (secondary),https://www.promiseexpresslogistics.com/,promiseexpresslogistics.com,"Awadi. Bldg-6, Office - 05 1st St - Jumeirah - Jumeira First - Dubai - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=promiseexpresslogistics&query_place_id=ChIJp08JQBxDXz4RAWoikXtcpmk
175,uae-pilot-0439,Way Green Landscaping,48,medium_priority_backlog,Dubai,Interior Design (secondary),https://waygreenscapes.com/,waygreenscapes.com,Al Karama - Dubai - United Arab Emirates,Landscape designer,https://www.google.com/maps/search/?api=1&query=Way%20Green%20Landscaping&query_place_id=ChIJ72sT6JpdXz4RBEA2PisNqRw
176,uae-pilot-0099,Aspire Green Garden Desiging & Works LLC,47,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),http://www.aspiregroupae.com/,aspiregroupae.com,Mazyad Mall - Abu Dhabi - United Arab Emirates,Landscape designer,https://www.google.com/maps/search/?api=1&query=Aspire%20Green%20Garden%20Desiging%20%26%20Works%20LLC&query_place_id=ChIJLWKF-udBXj4RuYToKWk0NeU
177,uae-pilot-0144,Comply Bridge Global Advisory,47,medium_priority_backlog,Dubai,Accounting/Audit,https://complybridgeglob.com/,complybridgeglob.com,Al Maskan 2 - 234 - near Gift Village Supermaket - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Comply%20Bridge%20Global%20Advisory&query_place_id=ChIJ3RPijZdDXz4RQvi8B-AG0rs
178,uae-pilot-0209,Fortune Kapital Ecommerce & Small Business Accountants,47,medium_priority_backlog,Abu Dhabi,Accounting/Audit,http://fortunekapital.com/,fortunekapital.com,Al Reem - RS1 - Abu Dhabi - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Fortune%20Kapital%20Ecommerce%20%26%20Small%20Business%20Accountants&query_place_id=ChIJM-g7UBNFXj4RamTW_6aEioQ
179,uae-pilot-0272,KSHIP (KHALIDIA INTERNATIONAL SHIPPING LLC),47,medium_priority_backlog,Abu Dhabi,Logistics (secondary),https://www.khalidiashipping.com/,khalidiashipping.com,124 Sultan Bin Zayed The First St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=KSHIP%20(KHALIDIA%20INTERNATIONAL%20SHIPPING%20LLC)&query_place_id=ChIJrXT5MmFmXj4Rms8muQ4A-dI
180,uae-pilot-0279,Logiquest Logistics LLC,47,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.logiquestllc.com/,logiquestllc.com,Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Logiquest%20Logistics%20LLC&query_place_id=ChIJUQjX8ChmXj4RSi1_daDG-9w
181,uae-pilot-0374,SA Creative Technical Works LLC,47,medium_priority_backlog,Dubai,Interior Design (secondary),http://sactw.com/,sactw.com,Al Hudaiba Awards Building - Block C شارع الثاني من ديسمبر‎ - Jumeirah - Dubai - United Arab Emirates,Interior Decorator,https://www.google.com/maps/search/?api=1&query=SA%20Creative%20Technical%20Works%20LLC&query_place_id=ChIJWdHstW5DXz4Rvf1UmoXA7mw
182,uae-pilot-0442,Wellknown Associates,47,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://wellknownassociates.com/,wellknownassociates.com,"Mazyad Mall, Business Center - Office no. 603-11 - 6th Floor - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates",Interior designer,https://www.google.com/maps/search/?api=1&query=Wellknown%20Associates&query_place_id=ChIJ1aSPKSs3Xj4RsRgj1l8bwzU
183,uae-pilot-0142,Close System Consultancy Mohammed Bin Zayed Branch,46,medium_priority_backlog,Abu Dhabi,Engineering,http://www.close-system.com/,close-system.com,Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Close%20System%20Consultancy%20Mohammed%20Bin%20Zayed%20Branch&query_place_id=ChIJ4XINRFc5Xj4RRANMF54We3s
184,uae-pilot-0216,GAC Abu Dhabi,46,medium_priority_backlog,Abu Dhabi,Logistics (secondary),https://gac.com/abudhabi,gac.com,"Office 701, 7th Floor, Guardian Towers Property - Abu Dhabi - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=GAC%20Abu%20Dhabi&query_place_id=ChIJ_d1TwrtBXj4RxlMPp1HLc64
185,uae-pilot-0283,Mabani Consulting - An Arkitek ICB Company,46,medium_priority_backlog,Dubai,Engineering,https://mabaniconsulting.com/,mabaniconsulting.com,"411 Dubai Real Estate Center, Al Mina Road - 411 Al Mina St - Al Hudaiba - Dubai - United Arab Emirates",Engineering consultant,https://www.google.com/maps/search/?api=1&query=Mabani%20Consulting%20-%20An%20Arkitek%20ICB%20Company&query_place_id=ChIJNzBCEwFDXz4RWm3KR-SXjNE
186,uae-pilot-0411,Strength Engineering - Structural and Civil Engineering Consultancy Dubai,46,medium_priority_backlog,Dubai,Engineering,https://strength.engineering/,strength.engineering,Convention Tower - Level 3 - Trade Center Second - Dubai - United Arab Emirates,Structural engineer,https://www.google.com/maps/search/?api=1&query=Strength%20Engineering%20-%20Structural%20and%20Civil%20Engineering%20Consultancy%20Dubai&query_place_id=ChIJHWA-9ARDXz4RsR4EyQlvrmM
187,uae-pilot-0096,Artificial Intelligence Technologies,44,medium_priority_backlog,Dubai,Other,http://ai-tech.ai/,ai-tech.ai,DREC Building - 311 Al Mina St - Jumeirah - Al Mina - Dubai - United Arab Emirates,Audio visual equipment supplier,https://www.google.com/maps/search/?api=1&query=Artificial%20Intelligence%20Technologies&query_place_id=ChIJtUjcr9JDXz4RwFSNNEFS1wI
188,uae-pilot-0303,Mideatek,44,medium_priority_backlog,Dubai,Other,https://www.cctvdubai.me/,cctvdubai.me,"Office Land Building - office 01, block-2 - Al Karama - Dubai - United Arab Emirates",Security system supplier,https://www.google.com/maps/search/?api=1&query=Mideatek&query_place_id=ChIJX3nCFcI6EaURqu2k-D5MY34
189,uae-pilot-0309,Mokobara Retail Store | Reem Mall,44,medium_priority_backlog,Abu Dhabi,Other,http://www.mokobara.com/,mokobara.com,"Reem Mall - L1-D-127, Mokobara - Al Reem Island - Najmat Abu Dhabi - Abu Dhabi - United Arab Emirates",Luggage store,https://www.google.com/maps/search/?api=1&query=Mokobara%20Retail%20Store%20%7C%20Reem%20Mall&query_place_id=ChIJ-bVhFz1nXj4R5tIwGJxGcUw
190,uae-pilot-0435,VM Kitchens & Closets,44,medium_priority_backlog,Dubai,Other,https://www.vm-kitchens.com/,vm-kitchens.com,Wasl Port View 9 - 129 Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Kitchen furniture store,https://www.google.com/maps/search/?api=1&query=VM%20Kitchens%20%26%20Closets&query_place_id=ChIJ0TJfQw5DXz4Rid_DP68T42E
191,uae-pilot-0158,Delma Bridge Transport & Logistics,43,medium_priority_backlog,Abu Dhabi,Logistics (secondary),http://www.delmabridge.com/,delmabridge.com,"Zig Zag building - Al Zahiyah, Abu Dhabi - UAE Floor: 2, Office No: 207 - Abu Dhabi - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Delma%20Bridge%20Transport%20%26%20Logistics&query_place_id=ChIJL4CkmsVnXj4RbMpKhzrsrfM
192,uae-pilot-0202,Fabrios Interiors,43,medium_priority_backlog,Abu Dhabi,Other,http://www.fabriosinteriors.com/,fabriosinteriors.com,Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,Curtain store,https://www.google.com/maps/search/?api=1&query=Fabrios%20Interiors&query_place_id=ChIJ2WVaZr45Xj4RkvdaCmfpXOo
