lead_number,normalized_name,official_domain,kuwait_presence_evidence_category,careers_or_ats_url,employer_outcome,evidence_urls,verification_date,notes
89,American University of Kuwait (AUK),https://www.auk.edu.kw,,https://www.auk.edu.kw,already_present,https://careers.auk.edu.kw/,2026-09-13,"Exact match to existing verified Kuwait row cc-american-university-of-kuwait in master-company-registry.csv. NOTE: distinct from American International University Kuwait (#67, aiu.edu.kw) -- two separate, similarly-named institutions, not conflated."
90,Hyatt Regency Kuwait,https://www.hyatt.com,,https://careers.hyatt.com/en-us/careers/search,approve_unchanged,https://careers.hyatt.com/en-us/careers/search;https://newsroom.hyatt.com/news-releases?item=123781,2026-09-13,"RECLASSIFIED: Hyatt is a real, well-known hotel brand; the specific Hyatt Regency Kuwait property could not be independently confirmed this pass (same 403 blocker), a technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] hyatt.com Kuwait destinations page returned HTTP 403 this pass. Flagged for the Hyatt Kuwait group/property reconciliation (see #59, #121).

RECOVERY PASS 2 (2026-09-13): Same careers.hyatt.com HTTP 403 as #59.

PASS 3 (2026-09-13): RESOLVED. Same fallback as #59. Hyatt's own newsroom confirms Hyatt Regency Al Kout Mall's official opening (2019-01-06) in Fahaheel (a verified Kuwait area), in partnership with Tamdeen Group."
91,Meituan,https://hr.meituan.com,,https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity,hold_manual_review,https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity,2026-09-13,"RECLASSIFIED: Meituan is a definitely-real, giant Chinese technology/delivery company -- not independently fetched this pass due to time constraints, not an identity gap. See #26 (Keeta) for the related unresolved brand-identity question. [RECOVERY PASS 2026-09-13] Not independently fetched this pass. Meituan's international delivery operations are branded 'Keeta' -- see the identity-conflict note under #26 (keeta.com resolves to an unrelated company). Meituan's own direct Kuwait presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Same resolution as #26 -- Meituan's international delivery brand is Keeta; see #26 for full evidence. Meituan has no separate direct Kuwait presence beyond the Keeta brand."
92,General Dynamics Information Technology (GDIT),https://www.gdit.com,,https://www.gdit.com,geo_ineligible,https://www.gdit.com/careers/,2026-09-13,CONFIRMED: careers page focuses exclusively on US-based defense/intelligence/homeland-security roles; no Kuwait or international locations referenced despite GDIT's parent (General Dynamics) having known global defense-contractor operations. No Kuwait-specific evidence found on the public careers site this pass.
93,Americana Restaurants International plc,https://www.americanarestaurants.com,,,hold_manual_review,,2026-09-13,"IMPORTANT CROSS-REFERENCE FOUND this recovery pass: baseline kuwait.csv already contains cc-americana-group (""Americana Group (Kuwait Food Company)"", legal name ""Kuwait Food Company (Americana) K.S.C.P."", KSE-listed ticker FOOD.KW, founded 1964, operates KFC/Pizza Hut/Hardees/Costa/Krispy Kreme franchises in 13 countries). This is very likely the SAME corporate lineage as the post-2022-split ""Americana Restaurants International plc"" (#93) but this pass could not independently confirm whether the existing baseline row is now obsolete/renamed or still the correct current entity -- NOT merged without stronger confirmation, per the no-auto-combine rule. A human must resolve whether cc-americana-group should be updated/renamed to reflect the 2022 restructuring, or whether Americana Restaurants International plc is a genuinely distinct successor requiring its own row. Kept at hold_manual_review rather than duplicate_or_alias or a fresh approve, given this genuine uncertainty. RE-CHECKED this pass: still no working URL found for Americana Restaurants; company remains real and well-documented via public knowledge (2022 spin-off from Americana Foods) but no fresh direct-fetch evidence obtained. Domain guess (americanarestaurants.com) 404'd. Americana Restaurants is a real, large, publicly-listed MENA restaurant operator (post-2022 corporate split from Americana Foods, #30) with well-documented Kuwait-region operations -- strong real-world plausibility, but not independently confirmed via direct fetch this pass.

RECOVERY PASS 2 (2026-09-13): No new first-party careers evidence, but a significant new fact: Americana Restaurants' own official site states its corporate history as originating 'in Kuwait back in 1964' and being 'publicly traded on the Kuwait Stock Exchange' -- the SAME founding year and KSE-listing fact already used for the existing baseline row cc-americana-group. Makes it substantially MORE likely this is the same corporate lineage post-2022-restructuring. NOT merged automatically per the no-auto-combine rule -- flagged even more strongly for a human decision."
94,Diyar United Company,https://www.diyarme.com,,https://www.diyarme.com,approve_unchanged,https://www.diyarme.com,2026-09-13,"Domain guess (diyarunited.com) failed to resolve (DNS failure).

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Corrects the prior wrong-domain guess (diyarunited.com, DNS failure). Real Kuwait IT/telecom solutions provider since 1980, HQ Kuwait City (Business Tower 1, Khaled Ibn Al-Waleed St). Named Dell Partner of the Year 2026."
95,"V2X, Inc.",https://www.gov2x.com,,https://www.gov2x.com,geo_ineligible,https://www.gov2x.com/careers,2026-09-13,"CONFIRMED: careers page states '~16,000 Global Employees operating in 47 countries and territories' but does not name or reference Kuwait specifically anywhere in the fetched content, despite V2X being a defense-logistics contractor type that sometimes operates in Gulf theaters. No Kuwait-specific evidence found on the public careers site this pass."
96,SLB (formerly Schlumberger),https://www.slb.com,,https://apply.slb.com/careers?location=Kuwait,approve_unchanged,https://apply.slb.com/careers?location=Kuwait&pid=563499718832380&domain=slb.com,2026-09-13,"careers.slb.com job-search URL guess 404'd this pass. SLB already has a Qatar row (cc-slb) and was staged (with a corrected URL) in the Saudi pass (cc-slb) -- given SLB's enormous global oilfield-services footprint, a genuine Kuwait presence is highly plausible, but not independently confirmed this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official SLB ATS (apply.slb.com) with direct Kuwait-location-filtered URLs and distinct job posting IDs; third-party aggregation confirms 17 open Kuwait jobs."
97,Oryx Holding (Kuwait),https://www.oryxholding.com,,https://www.oryxholding.com,approve_unchanged,https://www.oryxholding.com/about-us/,2026-09-13,"Task explicitly flags this as identity-ambiguous (multiple real companies/brands named 'Oryx' exist across different Gulf industries, e.g. Oryx Energies, Oryx GTL Qatar). Could not confirm a specific, real, Kuwait-relevant 'Oryx' entity without WebSearch. Not guessed.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Resolves the multi-entity identity ambiguity (distinct from Oryx Energies/Swiss-African and Oryx GTL/Qatar). Oryx Holding is a Kuwait City-headquartered conglomerate of 18 companies (est. 2010/2018), physical address P.O. Box 917, Souk Al Dakhili, Kuwait City. Careers page not independently confirmed this pass."
98,Nalco Water (an Ecolab brand),,,,duplicate_or_alias,,2026-09-13,"Nalco Water is publicly documented as Ecolab's water-treatment division/brand globally (corporate-structure fact, independent of Kuwait-specific confirmation). Treated as an alias of Ecolab (#99) rather than a separate row. Ecolab's own Kuwait presence is itself only hold_manual_review pending confirmation -- if Ecolab is not ultimately staged for Kuwait, this alias entry would not be staged either."
99,Ecolab Inc.,https://www.ecolab.com,,https://jobs.ecolab.com/,hold_manual_review,,2026-09-13,"jobs.ecolab.com fetch returned truncated content that could not be confirmed to show Kuwait-specific results. Already has a Qatar row (cc-ecolab-qatar); Kuwait presence plausible given global scale but not independently confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Explicit negative signal found: Glassdoor states 'No Jobs at Ecolab in Kuwait' currently. Not conclusive (aggregator coverage incomplete) but weakens the case for staging."
100,Radisson Hotel Group,https://www.radissonhotels.com,,https://radissoncareers.com/jobs?location=Kuwait,approve_unchanged,https://radissoncareers.com/jobs?location=Kuwait,2026-09-13,"Destination page returned HTTP 403 this pass. Radisson Blu Kuwait is a well-known, real property; needs a direct careers-page re-check before staging.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via the correct official Radisson ATS domain (radissoncareers.com, not radissonhotels.com) -- 6 live Kuwait openings by sub-location: Fintas (5), Mangaf (1)."
101,Larsen & Toubro Limited,https://www.larsentoubro.com,,https://www.larsentoubro.com/kuwait-construction/careers,approve_unchanged,https://www.larsentoubro.com/corporate/careers/;https://www.larsentoubro.com/kuwait-construction/careers,2026-09-13,"RECLASSIFIED per recovery-pass rule: Larsen & Toubro is definitely real with known large-scale GCC EPC project history; its careers page WAS directly fetched but did not name specific countries either way -- an ambiguous/weak signal, not a confirmed negative. [RECOVERY PASS 2026-09-13] Careers page confirmed real but does not name any specific countries/regions including Kuwait in the fetched content, despite L&T's known large-scale GCC construction/EPC project history. No Kuwait-specific evidence found on the public careers site this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official L&T Kuwait-specific careers page, with a named physical Kuwait office address: Office No. 19, Ground Floor, Building 1, Block 3, Mirqab, Kuwait."
102,ADES International Holding (Advanced Energy Systems),http://investors.adihgroup.com,,,hold_manual_review,,2026-09-13,"Wikipedia URL guess for ADES International Holding 404'd. ADES is publicly known as a real, large Egypt/Saudi-listed drilling company; whether 'Advanced Energy Systems' is a genuine alternate name for the same entity was not confirmed without WebSearch -- not guessed.

RECOVERY PASS 2 (2026-09-13): Identity resolved -- 'Advanced Energy Systems' is confirmed as a genuine alternate/trading name for ADES (per its own social channels, e.g. '@adesdrilling' titled 'ADES - Advanced Energy Systems'). ADES explicitly states 'a strong presence in Kuwait' among its 9 operating geographies. No Kuwait-specific careers page or job posting independently confirmed this pass."
103,Mashreqbank psc,https://www.mashreq.com,,https://www.mashreq.com/en/uae/about-us/careers/jobs/,hold_manual_review,,2026-09-13,"RECLASSIFIED per recovery-pass rule: Mashreqbank is a definitely-real, large UAE bank with known regional Gulf presence -- the specific /en/uae/careers/ URL guess 404'd, a wrong-path problem, not an identity problem. [RECOVERY PASS 2026-09-13] UAE careers URL guess 404'd this pass. Mashreq is a well-known UAE bank with regional Gulf presence; Kuwait-specific office/careers confirmation not obtained.

RECOVERY PASS 2 (2026-09-13): Own corporate description confirms 'growing retail presence in the region including Egypt, Qatar, Kuwait and Bahrain' (tier-1 market confirmation), but no Kuwait-specific careers URL or job posting confirmed."
104,Apparel Group,https://www.apparelgroup.com,,https://www.apparelgroup.com,approve_unchanged,https://www.apparelgroup.com/en/careers/,2026-09-13,"CONFIRMED: official careers page explicitly states 'KUWAIT Brands 50 Stores 153', confirming a substantial genuine Kuwait retail presence. Already has a verified Saudi row (cc-apparel-group-sa) -- reuse the existing market-neutral canonical_company_id for a Kuwait row, per repository convention, flagged for human confirmation. Note: the specific brands operated in Kuwait (e.g. whether this includes Abercrombie & Fitch/Hollister, #105/#106) were not itemized in the fetched content."
105,Abercrombie & Fitch Co.,https://corporate.abercrombie.com,,https://corporate.abercrombie.com,hold_manual_review,https://corporate.abercrombie.com/careers,2026-09-13,"CONFIRMED: corporate careers page lists only Columbus (Ohio, Global Home Office), London, Shanghai, Hong Kong, Bengaluru, and Switzerland as work locations -- no Gulf region or franchise-operations mention. No confirmed direct Kuwait employment relationship; if Kuwait stores exist, they are very likely run by a local franchise partner (possibly Apparel Group, #104, or another Gulf retail franchisee) whose specific identity was not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Official brand domain hollisterco.com (same corporate family) confirms a real physical Hollister store at The Avenues, Al Rai, Kuwait via its own store locator. Upgrades the prior finding: A&F Co. group brands have confirmed physical Kuwait retail presence, even though the corporate careers portal doesn't list local Kuwait roles. The specific local franchise operator/employer of record remains unconfirmed."
106,Hollister Co.,https://www.hollisterco.com,,https://www.hollisterco.com/shop/us/clothing-stores/KW/Kuwait/KW/31830,hold_manual_review,https://www.hollisterco.com/shop/us/clothing-stores/KW/Kuwait/KW/31830,2026-09-13,"Hollister is a genuine Abercrombie & Fitch Co. brand (see #105) but was not independently researched this pass. Not treated as a simple alias of A&F Co. since a Kuwait Hollister store, if it exists, would likely be operated by a distinct local franchisee rather than A&F Co. directly -- kept as its own unresolved candidate rather than merged without evidence.

RECOVERY PASS 2 (2026-09-13): Official hollisterco.com store locator confirms a real physical store at The Avenues, Al Rai, Kuwait. Kept as its own row per the no-auto-merge rule; franchise operator/employer identity still unconfirmed."
107,Nestlé S.A.,https://www.nestle.com,,https://www.nestle.com/jobs/search-jobs,approve_unchanged,https://www.nestle.com/jobs/search-jobs,2026-09-13,"RECLASSIFIED per recovery-pass rule: Nestlé is a definitely-real global FMCG company with major MENA operations -- the jobs page returned HTTP 403 (bot-block), a technical access problem, not an identity problem. [RECOVERY PASS 2026-09-13] jobs page returned HTTP 403 this pass. Real global FMCG company with major MENA regional operations; Kuwait-specific office/careers confirmation not obtained.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via a physical Kuwait office address (Sulaibiya Area, Agility Complex, Beside Land Customs, Safat, Kuwait City) with local phone number, and Nestle's own global job-search portal showing 1 current Kuwait opening."
108,Classera,https://classera.com,,https://mea.classera.com/en/careers/,hold_manual_review,,2026-09-13,"RECLASSIFIED per recovery-pass rule: Classera is a definitely-real, well-documented Saudi-founded education-technology company -- under-researched this pass (time constraint), not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Known as a Saudi-founded education-technology company; Kuwait-specific presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Own-site language describes 'expansion into Kuwait, Qatar, and the UAE' as a forward-looking regional-partnership strategy rather than a confirmed established local office."
109,Commercial Bank of Kuwait (Al-Tijari / AlTijaria),https://altijaria.com,,https://altijaria.com/en/careers,approve_unchanged,https://altijaria.com/en/careers,2026-09-13,"Could not confirm without WebSearch whether this refers to the well-known Commercial Bank of Kuwait (colloquially 'Al-Tijari') or a distinct 'AlTijaria Group' entity. Not guessed/merged.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. The supplied lead name 'AlTijaria' directly matches the Commercial Bank of Kuwait's own brand domain (altijaria.com). Kuwait's second-oldest bank (est. 1960), 2,000+ employees across 60 locations, official careers page live. Identity ambiguity fully resolved -- this is definitively the Commercial Bank of Kuwait (Al-Tijari)."
110,İpekyol,,,,hold_manual_review,,2026-09-13,"RECLASSIFIED: Ipekyol (IPEKYOL Group) is a definitely-real Turkish fashion retail brand with known Gulf franchise presence in the region -- no domain fetch was attempted this pass due to time constraints, not an identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Known as a Turkish fashion retail brand; Gulf/Kuwait franchise presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Confirmed real, operating physical stores in Kuwait (The Avenues Phase III; Khiran Mall) with a local phone number -- strong presence evidence. No dedicated careers page or Kuwait-specific job posting found; Gulf franchise retail brands are typically operated by a local franchisee whose specific employer identity was not established this pass."
111,"Leidos Holdings, Inc.",https://www.leidos.com,,https://careers.leidos.com/search/jobs/in/country/kuwait,approve_unchanged,https://careers.leidos.com/jobs/17404046-it-site-lead,2026-09-13,"careers.leidos.com redirect target was not independently re-fetched this pass. Leidos is a major US government/defense contractor with known overseas theater-support operations; Kuwait presence plausible but not independently confirmed.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Leidos ATS's direct country-filtered Kuwait URL and a specific live job-detail page: 'IT Site Lead in Kuwait (No Remote)' at Camp Arifjan, Kuwait."
112,Fluor Corporation,https://www.fluor.com,,https://www.fluor.com/careers,approve_unchanged,https://www.fluor.com/careers;https://www.fluor.com/careers,2026-09-13,"RECLASSIFIED per recovery-pass rule: Fluor Corporation is definitely real; its careers page WAS directly fetched and lists a generic ""Middle East"" regional site without excluding Kuwait -- an ambiguous/weak signal, not a confirmed negative, so held rather than left as a pure identity gap. [RECOVERY PASS 2026-09-13] CONFIRMED: careers page lists country-specific sites for Australia, Belgium, Chile, China, Germany, India, 'Middle East' (generic, not country-specific), Netherlands, Poland, Spain, and the UK. Kuwait is not individually named. No Kuwait-specific evidence found on the public careers site this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. A specific named Kuwait job was found: 'DPW Manager (Fire Protection / Suppression) in Kuwait' via Fluor's official careers channel. Resolves the prior ambiguous 'generic Middle East region' signal."
113,KitchenPark,https://www.kitchenpark.com,,https://www.kitchenpark.com/en/,approve_unchanged,https://www.kitchenpark.com/en/locations/,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Real dark-kitchen/commercial-kitchen rental company with 5 named Kuwait locations (Ardiya, Khaitan, Qurain, Sharq, Salwa), Kuwait phone number. Careers page not independently confirmed this pass; staged on strength of extensive confirmed physical Kuwait presence."
114,"Marriott International, Inc.",https://www.marriott.com,,https://www.marriott.com,duplicate_or_alias,,2026-09-13,"Parent brand of the individually-named Kuwait properties supplied separately (JW Marriott Kuwait #50, Courtyard by Marriott #13, Marriott Executive Apartments Kuwait City #80). Per the group/property reconciliation policy (consistent with the Qatar-pass precedent for Accor/Minor Hotels brands), the parent brand itself is not staged as a separate row -- only individually-confirmed properties would be, if evidence supports them. None of the three named Kuwait properties were independently confirmed via direct fetch this pass (Marriott property-search returned HTTP 403 each time)."
115,Alghanim Industries (F&B division),https://www.alghanim.com,,https://www.alghanim.com,duplicate_or_alias,https://careers.alghanim.com/,2026-09-13,"A business division of the already-present Alghanim Industries (#14, cc-alghanim-industries), not an independently confirmed distinct legal entity. Not staged as a separate row."
116,National Bank of Kuwait (NBK),https://www.nbk.com,,https://www.nbk.com,duplicate_or_alias,https://careers.nbk.com/,2026-09-13,"Explicit naming-variant restatement of the already-present National Bank of Kuwait (#81, cc-national-bank-of-kuwait). Not a separate row."
117,Al Mulla Group,https://www.almullagroup.com,,https://www.almullagroup.com,already_present,https://careers.almullagroup.com,2026-09-13,Exact match to existing verified Kuwait row cc-al-mulla-group in master-company-registry.csv.
118,Al Mulla Engineering,https://almullaengineering.com,,https://almullaengineering.com/careers/,approve_unchanged,https://almullaengineering.com/careers/;https://careers.almullagroup.com/,2026-09-13,"Plausibly a subsidiary/division of the already-present Al Mulla Group (#117), but this relationship was not independently confirmed this pass (no direct fetch attempted). Held rather than automatically merged, per the no-auto-combine rule, pending confirmation of whether it is a distinct legal entity or simply a division.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Al Mulla Engineering has its own distinct official domain and careers page, plus the parent Al Mulla Group's official recruitment portal and physical HQ (Free Trade Zone, Shuwaikh, Kuwait). Confirmed as a genuine distinct entity/division related to but separate from the already-present Al Mulla Group (#117) -- kept as its own row per the no-auto-combine rule."
119,Aloula (unresolved -- possible match: Al Oula Steel Manufacturing Company),http://www.oulasteel.com,,,hold_manual_review,,2026-09-13,"Task explicitly says do not assume identity. 'Aloula Aviation' is a real, distinct Saudi airline already verified in the Saudi-market registry pass (cc-aloula-aviation) -- but this is the KUWAIT lead list, and no genuine Kuwait-relevant 'Aloula' or similarly-sounding entity was identified without WebSearch. NOT conflated with the Saudi entity (different market, no evidence of a Kuwait connection).

RECOVERY PASS 2 (2026-09-13): Fresh search found multiple distinct 'Aloula'/'Al Oula'-spelled entities across different countries (Saudi Tamweel Aloula, a US 'AlOula' real-estate firm) plus one genuinely Kuwait-based candidate: 'Al Oula Steel Manufacturing Company' (al-oula.net). Per the explicit task instruction not to assume identity, this is flagged as the most likely candidate but NOT auto-matched -- genuine identity uncertainty remains for human confirmation. Not conflated with the unrelated Saudi 'Aloula Aviation' entity from the separate Saudi-market pass.

PASS 3 (2026-09-13): Domain correction. The real official domain for the likely-match candidate is oulasteel.com (NOT al-oula.net, which was an incorrect guess last pass) -- confirmed via the company's own careers page (oulasteel.com/career), physical address (West Shuaiba Industrial Area, Fahaheel), and status as Kuwait's first and only steel plant since 2003. Still flagged as the most likely candidate for supplied lead #119 ('Aloula') but NOT auto-matched -- name similarity is suggestive, not confirmed identical."
120,n/a -- meta reconciliation item,,,,duplicate_or_alias,,2026-09-13,"Meta-item, not an independent lead. Each individually-named Kuwait property (Millennium Hotel & Convention Centre Kuwait #37, Millennium Central Kuwait Downtown Hotel #41) is treated as a distinct potential legal/operating entity at its own address; there is no single umbrella 'Millennium Hotels Kuwait' company to separately stage."
121,n/a -- meta reconciliation item,,,,duplicate_or_alias,,2026-09-13,"Meta-item, not an independent lead. Points to the two individually-named properties: Grand Hyatt Kuwait (#59) and Hyatt Regency Kuwait (#90). No separate umbrella 'Hyatt Kuwait' company to stage."
122,n/a -- meta reconciliation item,,,,duplicate_or_alias,,2026-09-13,"Meta-item, not an independent lead. Points to the individually-named properties under parent Marriott International (#114): JW Marriott Kuwait (#50), Courtyard by Marriott (#13), Marriott Executive Apartments Kuwait City (#80)."
123,n/a -- meta reconciliation item,,,,duplicate_or_alias,,2026-09-13,"Meta-item, not an independent lead. Points to the 4 confirmed Hilton-brand Kuwait properties found under lead #20: Hilton Garden Inn Kuwait, Waldorf Astoria Kuwait, Hampton by Hilton Kuwait Salmiya, and Hilton Kuwait Mangaf Resort (Coming Soon)."
124,n/a -- anonymized listing,,,,reject_unsafe_or_invalid,,2026-09-13,"Anonymized/confidential job-posting label, not a real named employer. Per explicit task rule, confidential/anonymized listings must never be invented into named employers. No real entity to resolve behind this label was pursued."
125,n/a -- anonymized listing,,,,reject_unsafe_or_invalid,,2026-09-13,"Anonymized/confidential job-posting label, not a real named employer. Same rule as #124."
126,n/a -- anonymized listing,,,,reject_unsafe_or_invalid,,2026-09-13,"Anonymized/confidential job-posting label, not a real named employer. Same rule as #124."
127,n/a -- anonymized listing,,,,reject_unsafe_or_invalid,,2026-09-13,"Anonymized/confidential job-posting label, not a real named employer. Same rule as #124."
128,SpaStaff.com,https://www.spastaff.com,,https://www.spastaff.com,duplicate_or_alias,https://www.spastaff.com/,2026-09-13,"Exact restatement of item #87 (SpaStaff / Spa Staff.com), supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #87."
129,SSC HR Solutions,,,,duplicate_or_alias,,2026-09-13,"Exact restatement of item #44, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #44."
130,Libera Consultants,,,,duplicate_or_alias,,2026-09-13,"Exact restatement of item #76, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #76."
131,HRInvest,,,,duplicate_or_alias,,2026-09-13,"Exact restatement of item #29, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #29."
